x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80
0.025990864,0.025340467,0.025340467,0.025193619,0.025193619,0.025193619,0.025193619,0.025193619,0.023592859,0.023163807,0.023163807,0.021215527,0.021215527,0.018543144,0.018543144,0.018543144,0.018543144,0.018543144,0.018171274,0.017704367,0.017704367,0.017704367,0.017704367,0.015359489,0.015359489,0.015359489,0.015359489,0.015359489,0.014188321,0.013922232,0.013922232,0.013832692,0.013832692,0.012199767,0.012199767,0.011988301,0.011988301,0.011988301,0.011528337,0.010628411,0.010588518,0.010360873,0.010360873,0.009053275,0.009053275,0.009053275,0.009053275,0.009053275,0.00869421,0.008487743,0.008165055,0.007914529,0.007914529,0.007129509,0.007129509,0.007077392,0.00693072,0.00693072,0.006529493,0.006310043,0.006223027,0.00605767,0.00605767,0.005716333,0.005656904,0.00554875,0.005502312,0.005440079,0.005334127,0.005300642,0.005260425,0.005223851,0.005223851,0.005156815,0.005148918,0.005138074,0.00513183,0.00513183,0.005124069,0.005120044
0.021534167,0.020229576,0.02152168,0.020082729,0.020986484,0.020275163,0.020505819,0.020800438,0.018481968,0.018052916,0.018444253,0.016104637,0.020595069,0.013432254,0.015469854,0.014464191,0.014046732,0.015934704,0.013060383,0.012593476,0.014517795,0.01341635,0.016750989,0.010248598,0.011798896,0.010311874,0.010249861,0.012283993,0.00907743,0.008811342,0.009250626,0.008721802,0.011983737,0.007088877,0.007943664,0.006877411,0.00697317,0.007871029,0.006417447,0.005517521,0.005477628,0.005249982,0.007521855,0.003942384,0.004543884,0.004425998,0.004123725,0.004790547,0.003583319,0.003376853,0.003054164,0.002803638,0.003621884,0.002018618,0.002267502,0.001966502,0.00181983,0.001992595,0.001418603,0.001199153,0.001112137,0.00094678,0.001085289,0.000605443,0.000546013,0.00043786,0.000391421,0.000329188,0.000223237,0.000189751,0.000149534,0.00011296,0.000120088,4.59E-05,3.80E-05,2.72E-05,2.09E-05,2.42E-05,1.32E-05,9.15E-06
0.020777026,0.021427892,0.020093033,0.021376379,0.019947176,0.020844831,0.020138292,0.020357182,0.020649727,0.018348051,0.017922118,0.018310695,0.015980839,0.020436875,0.013329018,0.015350932,0.014352994,0.013924295,0.015795792,0.012946523,0.012483613,0.01439112,0.013288353,0.016591131,0.010150748,0.011686182,0.010213297,0.010133021,0.012143696,0.008973748,0.008710611,0.009144841,0.008597546,0.011812984,0.006987596,0.00783003,0.006778973,0.00683899,0.007719531,0.006293654,0.005410943,0.005371795,0.005110507,0.007322235,0.003837291,0.004422521,0.004307626,0.003960434,0.004600751,0.003440876,0.00324209,0.002932263,0.002636526,0.003406523,0.001897881,0.002131789,0.001848449,0.00165997,0.001817546,0.001293584,0.001093117,0.001013706,0.000820181,0.000940776,0.000524221,0.000472783,0.000379107,0.000315618,0.000265498,0.000179994,0.00015289,0.000120494,8.43E-05,8.97E-05,3.43E-05,2.84E-05,2.03E-05,1.56E-05,1.75E-05,9.55E-06
0.021672092,0.020676522,0.021286276,0.019960199,0.021235032,0.019815361,0.020707021,0.019995383,0.020212863,0.02050317,0.018217814,0.017795047,0.018172835,0.015860617,0.020283091,0.01322864,0.015235291,0.014230441,0.013805346,0.015660873,0.012835781,0.012376781,0.014256396,0.013163943,0.016435615,0.010055477,0.0115763,0.010098947,0.01001937,0.0120072,0.008872679,0.008612312,0.009016575,0.00847679,0.011646784,0.006888893,0.00771909,0.006650146,0.006709031,0.007572426,0.006173119,0.005307037,0.005230632,0.004976053,0.007129063,0.00373542,0.00430477,0.004138614,0.003804693,0.004419536,0.003304209,0.003112732,0.002758726,0.002480341,0.003204557,0.001784581,0.002003897,0.001687198,0.001514689,0.001658396,0.001179422,0.000996302,0.000878969,0.000711057,0.000815579,0.000453922,0.000409217,0.000306105,0.000254737,0.000214249,0.000145119,0.000123205,9.01E-05,6.30E-05,6.71E-05,2.56E-05,2.12E-05,1.51E-05,1.13E-05,1.27E-05
0.021173197,0.021569322,0.02054279,0.021148528,0.019831011,0.021097653,0.019687138,0.020563243,0.01985673,0.020072485,0.02036064,0.018091378,0.017663868,0.018039047,0.015743742,0.020133563,0.01313104,0.01510791,0.014111378,0.013689851,0.015529585,0.012728093,0.01226315,0.014125463,0.013042876,0.016284121,0.009962521,0.011448919,0.009987639,0.009908752,0.011873985,0.008773937,0.008493267,0.008891857,0.008359128,0.011484631,0.006792384,0.007574289,0.006525262,0.006582615,0.007428857,0.006055381,0.005168869,0.005094471,0.004845634,0.00694143,0.003636423,0.004137587,0.003977086,0.003655739,0.004245072,0.003172758,0.002929474,0.002596409,0.002333547,0.003014709,0.00167749,0.001830531,0.001540224,0.001382371,0.001512562,0.001075009,0.000864577,0.000762662,0.000616253,0.00070697,0.000392772,0.000330804,0.000247315,0.000205637,0.000172801,0.000117001,9.23E-05,6.75E-05,4.72E-05,5.02E-05,1.91E-05,1.58E-05,1.10E-05,8.24E-06
0.021605288,0.02107484,0.021432849,0.02041273,0.021014594,0.019705513,0.020964047,0.019553597,0.020423857,0.019721827,0.019935961,0.020222372,0.017960842,0.017536656,0.017908978,0.015630105,0.019988185,0.013023588,0.01498416,0.013995807,0.013577409,0.015401911,0.012613521,0.012152732,0.013998008,0.01292488,0.016136179,0.009854871,0.011324836,0.009879256,0.009800664,0.011743685,0.008654506,0.008377452,0.008770203,0.008244192,0.011325843,0.006666804,0.007433794,0.006403558,0.006458939,0.007288348,0.005899296,0.005035514,0.004962079,0.00471868,0.006758822,0.003496669,0.003977474,0.003822331,0.003511835,0.004076931,0.002987415,0.002757934,0.002443502,0.002195344,0.002834713,0.001533445,0.001672038,0.001406121,0.001260725,0.00137894,0.000933798,0.000750715,0.000661275,0.000533916,0.000612221,0.000317884,0.000267495,0.000199781,0.000165833,0.000139351,8.79E-05,6.93E-05,5.06E-05,3.53E-05,3.75E-05,1.43E-05,1.15E-05,8.02E-06
0.021297488,0.02150701,0.020944464,0.021300147,0.020286306,0.020884558,0.01958348,0.020824812,0.019424239,0.020288204,0.019590627,0.019803622,0.020079611,0.01783435,0.017412977,0.017782517,0.015519636,0.019828178,0.0129192,0.014864078,0.013883234,0.013468065,0.015265987,0.012502205,0.012045213,0.01387372,0.012809549,0.015965063,0.009749928,0.011203959,0.009773219,0.009694817,0.011586286,0.008538251,0.008264353,0.008651225,0.008131463,0.011119975,0.006544849,0.007296616,0.006284196,0.006337661,0.007102619,0.005748554,0.004905532,0.004832929,0.004594918,0.00650252,0.003362543,0.003823808,0.003672294,0.003372862,0.003840954,0.002813784,0.002595971,0.002299307,0.002063922,0.00259435,0.001401362,0.001527149,0.00128242,0.001149092,0.001199285,0.000811551,0.00065113,0.000573071,0.000461965,0.000496848,0.000257267,0.000216186,0.000161143,0.000133695,0.000104911,6.62E-05,5.20E-05,3.79E-05,2.64E-05,2.81E-05,1.04E-05,8.40E-06
0.022441278,0.021202635,0.021376987,0.020817714,0.021171194,0.020163632,0.020758138,0.019456497,0.020690065,0.019298302,0.020156274,0.019463553,0.019666966,0.019941384,0.017711369,0.017292732,0.017659596,0.015398157,0.019672737,0.012817941,0.014747051,0.013773761,0.013351663,0.015133944,0.012393777,0.011940309,0.013752125,0.012676382,0.015798123,0.009647651,0.011085545,0.009669253,0.009567134,0.01143299,0.008424593,0.008153601,0.008534342,0.007985758,0.010919873,0.006425546,0.007161736,0.006166911,0.00617785,0.006923139,0.005601257,0.00477845,0.004706825,0.004422228,0.006256019,0.003233588,0.003674297,0.003527102,0.003178788,0.003619705,0.002649463,0.002442991,0.002161771,0.001889849,0.002373238,0.001280391,0.001393038,0.001168719,0.000999942,0.00104349,0.000704261,0.000564353,0.000495817,0.000375059,0.000403089,0.000208021,0.000174373,0.000129922,0.000100838,7.91E-05,4.97E-05,3.90E-05,2.83E-05,1.98E-05,2.05E-05,7.61E-06
0.021636882,0.022343482,0.021077435,0.021250608,0.020694584,0.021046142,0.020044391,0.020626716,0.019333719,0.020558858,0.019175811,0.020028603,0.01933232,0.01953476,0.019806994,0.017591811,0.017175871,0.017524507,0.015280151,0.019522009,0.012719206,0.014633247,0.013657184,0.013238607,0.015005283,0.012287926,0.011837582,0.013611902,0.012546364,0.015635349,0.009547325,0.010969295,0.009544017,0.009442712,0.011282938,0.008313147,0.008044614,0.00838378,0.007844001,0.01072375,0.006307941,0.007028931,0.006012874,0.006023318,0.006747319,0.005456925,0.00465415,0.00453191,0.004255778,0.006018599,0.003107671,0.003529316,0.003325359,0.002996685,0.003409821,0.002493995,0.002296635,0.00198102,0.001729241,0.002170278,0.001168036,0.001269559,0.00101775,0.000870448,0.000906253,0.000610607,0.000488183,0.000403156,0.000304301,0.000326622,0.000167789,0.000140569,9.82E-05,7.62E-05,5.96E-05,3.73E-05,2.92E-05,2.13E-05,1.45E-05,1.50E-05
0.023741421,0.021544653,0.022214688,0.020955769,0.021127878,0.020575256,0.020924618,0.019920612,0.020499772,0.019214126,0.020431263,0.019057381,0.019896738,0.019205474,0.019406222,0.019676355,0.017475637,0.017047539,0.017393288,0.01516577,0.019374951,0.01262319,0.014512032,0.013543978,0.013128409,0.014879604,0.012184171,0.011719311,0.013474882,0.012419533,0.015475461,0.009448703,0.010829461,0.009421908,0.00932078,0.011135612,0.008203291,0.007904662,0.008237159,0.007704784,0.01052993,0.006191907,0.006855094,0.005863827,0.005871548,0.006574656,0.005315511,0.004482788,0.004362945,0.004095168,0.005785945,0.002985317,0.003328867,0.003135912,0.002823531,0.003210903,0.002344805,0.002105864,0.00181373,0.001581561,0.001981082,0.00106442,0.001106609,0.000886505,0.000756016,0.000786222,0.000528207,0.000397481,0.000327493,0.000246496,0.000263896,0.000135244,0.000106452,7.44E-05,5.75E-05,4.48E-05,2.80E-05,2.19E-05,1.56E-05,1.06E-05
